file_hash|source|installment|year|month|day|hour|minute|at_near|date_of_action|location_code|age|sex|cmplxn|country_of_citizenship|us_address_zip|last_entry|method_location_apprehension|foreign_address|status_at_entry|status_when_found|mother_nationality|father_nationality|spouse_nationality|number_nationality_minor_children|disposition|charge_code_words|accompanied_juvenile_flag|unaccompanied_juvenile_flag|custody_redetermination_flag|date|quarter|fy|cota_in_force|kww_in_force|mentions_airport|mentions_anonymous_tip|mentions_border_patrol|mentions_bus|mentions_corrections|mentions_courthouse|mentions_database|mentions_detainer|mentions_family_unit|mentions_greyhound|mentions_hsi|mentions_jail|mentions_juvenile|mentions_license_plate|mentions_no_criminal_history|mentions_police|mentions_previous_deport|mentions_prison|mentions_probation_office|mentions_secure_comm|mentions_sheriff|mentions_state_patrol|mentions_surveillance|mentions_task_force|mentions_traffic|state|county|lat|lon
dd54d508b27828882d03709cc80470d6a4d7a5e8|ice|ICE 2020-05|2019.0|4.0|11.0|6.0|0.0|SPOKANE, WA|04/12/19|YAK/SEA|33.0|M|MEDIUM|MEXICO|99301.0|Without Inspection Unknown Date, UNK, WI -|CLC NA|||||||2 -UNITED STATES|WARRANT OF ARREST/NOTICE TO APPEAR|04/12/2019 - 212a6Ai - ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs)|0.0|0.0|0.0|2019-04-11|2019.3|2019.0|False|False|False|False|True|False|False|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|True|True|False|False|False|WA|Spokane County|47.6587802|-117.4260465
b56fa8cd225ff292e17e54f029b780beefe12a2c|ice|ICE 2020-05|2019.0|9.0|1.0|22.0|40.0|PACIFIC HIGHWAY POE, WA|09/01/19|PHY/SEA|57.0|F|LIGHT|CANADA|98421.0|09/02/2019 01 :26, PHY|ISP NA|||||||None||09/02/2019 - 212a6Cii - FALSE CLAIM TO U.S. CITIZENSHIP; 09/02/2019 - 212a7AiI - IMMIGRANT WITHOUT AN IMMIGRANT VISA|0.0|0.0|0.0|2019-09-01|2019.4|2019.0|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|WA|Whatcom County|49.0015098|-122.73651
243ae3a57a240fef843381bb69f70cfeed9aa029|ice|ICE 2020-05|2019.0|9.0|10.0|12.0|27.0|SHERIDAN, OR|09/10/19|EUG/POO|69.0|M|MEDIUM|CUBA|92591.0|06/02/1980, KEY, PR — Parolee|CFD NA|||||||None|WARRANT OF ARREST/NOTICE TO APPEAR|10/07/2019 - 212a7AiI - IMMIGRANT WITHOUT AN IMMIGRANT VISA; 10/07/2019 - 212a2AiII - CONTROLLED SUBSTANCE CONVICTION|0.0|0.0|0.0|2019-09-10|2019.4|2019.0|False|True|False|False|False|False|False|False|True|True|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|OR|Yamhill County|45.0992814|-123.3948291
f0497e64e2b5cecfb61798ca121c85c7acb3fd73|ice|ICE 2020-05|2019.0|3.0|8.0|14.0|43.0|SEATTLE, WA|03/08/19|SEA/SEA|52.0|M|MEDIUM|PERU|98002.0|01/10/1991, SYS, UU — Unknown Or Not Reported|OA NA|||||||None|BAG AND BAGGAGE||0.0|0.0|0.0|2019-03-08|2019.2|2019.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|WA|King County|47.6062095|-122.3320708
223c9639d5ccc47c94d02f74e8dbb4818fdddf57|ice|ICE 2020-05|2019.0|4.0|29.0|14.0|45.0|SPRINGFIELD, OR|05/01/19|EUG/POO|29.0|M|MEDIUM|MEXICO|98421.0|Unknown Date, UNK, WI — Without Inspection|CLC NA|||||||None|WARRANT OF ARREST/NOTICE TO APPEAR|04/29/2019 - 212a6Ai - ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs)|0.0|0.0|0.0|2019-04-29|2019.3|2019.0|False|False|False|False|False|False|False|False|True|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|OR|Lane County|44.0462362|-123.0220289
069173724f98c2ca90a1108b0dca6e67011a7052|ice|ICE 2020-05|2019.0|7.0|25.0|11.0|42.0|YAKIMA, WA|07/25/19|YAK/SEA|41.0|M|MEDIUM|MEXICO|99321.0|/ /1997, UNK, WI — Without Inspection|L NA|||||||None|BAG AND BAGGAGE|07/25/2019 - 212a6Ai - ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs)|0.0|0.0|0.0|2019-07-25|2019.4|2019.0|False|True|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|WA|Yakima County|46.6020711|-120.5058987
c71fb1fd0648d5fa484a6c254950add9e5f77b81|ice|ICE 2020-05|2019.0|9.0|28.0|17.0|37.0|BLAINE, WA|09/29/19|BLS/BLW|45.0|M|MEDIUM|MEXICO|98421.0|09/28/2019 17:35, PHY, EWI AFOOT|PB UNKNOWN|||||||None|EXPEDITED REMOVAL|09/28/2019 - 212a7AiI - IMMIGRANT WITHOUT AN IMMIGRANT VISA|0.0|0.0|0.0|2019-09-28|2019.4|2019.0|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|WA|Whatcom County|48.993723|-122.7471191
ea8784654ec0208cc499b86d60e6e2201a037132|ice|ICE 2020-05|2019.0|9.0|9.0|9.0|20.0|SPOKANE VALLEY, WA|09/09/19|SPK/SPW|26.0|M|MEDIUM|HONDURAS|98421.0|Unknown Date, UNK, PWA (AFOOT)|O UNKNOWN|||||||None|WARRANT OF ARREST/NOTICE TO APPEAR|09/09/2019 - 212a6Ai - ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs)|0.0|0.0|0.0|2019-09-09|2019.4|2019.0|False|True|False|False|True|False|False|False|True|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|WA|Spokane County|47.6732281|-117.2393748
b6d0b4df21a0fc1415eaa97f6c3ddd028fa3ab15|ice|ICE 2020-05|2019.0|9.0|23.0|9.0|5.0|PORT ORCHARD, WA|09/23/19|SEA/SEA|40.0|M|MEDIUM|MEXICO|98367.0|Date, . ,-.• • , UNK ,-, Unknown|L NA|||||||3—UNITED STATES|BAG AND BAGGAGE|"""SEE NARRATIVE"" > 09/23/2019 - 8 USC 1182 - ALIEN INADMISSIBILITY UNDER SECTION 212 (SEE NOTES)"|0.0|0.0|0.0|2019-09-23|2019.4|2019.0|False|True|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|True|False|True|False|False|WA|Kitsap County|47.5403732|-122.6362492
f36ba43f893fcca3a72035fd1ef689f9f5d23b01|ice|ICE 2020-05|2019.0|7.0|8.0|6.0|52.0|SEATTLE, WA|07/08/19|SEA/SEA|50.0|M|LIGHT|JORDAN|98105.0|08/28/2001, NYC, B1 — Visitor For Business|L NA|||||||None|BAG AND BAGGAGE||0.0|0.0|0.0|2019-07-08|2019.4|2019.0|False|True|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|WA|King County|47.6062095|-122.3320708
b9ad7163f9ae8c32266ff0392199af41ebf32903|ice|ICE 2020-05|2019.0|7.0|5.0|13.0|42.0|BREMERTON, WA|07/05/19|SEA/SEA|51.0|M|MEDIUM|PHILIPPINES|98310.0|12/05/1978, HHW, CH — Parolee (Humanitarian—Hdqtrs Auth)|L NA|||||||None|BAG AND BAGGAGE|See Narrative|0.0|0.0|0.0|2019-07-05|2019.4|2019.0|False|True|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|True|False|True|False|False|False|False|True|False|False|WA|Kitsap County|47.5650067|-122.6269768
0283e8416b20b43b468b996f2c18777cb00b943d|ice|ICE 2020-05|2019.0|8.0|14.0|9.0|25.0|EUGENE, OR||EUG/POO|27.0|M|MEDIUM BROWN|HONDURAS|98421.0|09/06/2017, MIA, F3. — Student of|NCA NA|||||||None|OTHER||0.0|0.0|0.0|2019-08-14|2019.4|2019.0|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|OR|Lane County|44.0520691|-123.0867536
9988b89169dbe6266148c2d6ddbaffd6b8624574|ice|ICE 2020-05|2019.0|8.0|2.0|8.0|16.0|PASCO, WA|08/02/19|RIC/SEA|39.0|M|MEDIUM|MEXICO||Unknown Date|CLC NA|||||||2 —UNITED STATES|WARRANT OF ARREST/NOTICE TO APPEAR|03/04/2019 — 212a6Ai — ALIEN PRESENT WITHOUT ADMISSION OR PAROLE — (PWAs)|0.0|0.0|0.0|2019-08-02|2019.4|2019.0|False|True|False|False|True|False|False|False|False|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|WA|Franklin County|46.2305049|-119.0922316
36e49fd34489586351433b419060fbf5cd8922e0|ice|ICE 2020-05|2019.0|6.0|1.0|16.0|6.0|BLAINE, WA|06/01/19|BLS/BLW|39.0|M|MEDIUM|PAKISTAN|98421.0|06/01/2019 15 : 53 , PHY,|PB UNKNOWN||||PAKISTAN|||None|EXPEDITED REMOVAL|06/01/2019 - 212a7AiI - IMMIGRANT WITHOUT AN IMMIGRANT VISA|0.0|0.0|0.0|2019-06-01|2019.3|2019.0|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|WA|Whatcom County|48.993723|-122.7471191
2b25afd4aa855eb9475d33f7107b47fcf7283a74|ice|ICE 2020-05|2019.0|6.0|17.0|14.0|23.0|CONNELL, WA|06/17/19|SPO/SEA|58.0|M|MEDIUM|MEXICO||12/01/1990, SFR, (b)(6); (b)(7)(C)|CST NA|||||||None|OTHER|See Narrative|0.0|0.0|0.0|2019-06-17|2019.3|2019.0|False|True|False|False|True|False|True|False|True|True|False|False|False|True|False|False|False|False|False|True|False|False|True|False|False|False|False|WA|Franklin County|46.6634733|-118.8611117
cffe9e932a29e7e53f98b4b6fed0ede7fa165484|ice|ICE 2020-05|2019.0|1.0|17.0|14.0|24.0|SEATTLE, WA|01/17/19|SEA/SEA|40.0|M|MEDIUM|VIETNAM|98178.0|06/08/1998, SFR, cbn ) ,(1D)(7)(C.),i|NCA NA|||||||2 —UNITED STATES|OTHER|01/17/2019 - 237a2Bi - DRUG CONVICTION|0.0|0.0|0.0|2019-01-17|2019.2|2019.0|False|False|False|False|False|False|False|False|False|False|False|False|True|True|False|False|False|True|False|False|False|False|False|False|False|False|False|WA|King County|47.6062095|-122.3320708
2b4fe797700747a79e4a2cf3fb5211089a68672b|ice|ICE 2020-05|2019.0|9.0|12.0|16.0|8.0|EPHRATA, WA||WNT/SEA|31.0|M|LIGHT|UKRAINE|98837.0|Unknown Date, SAC, (b)(6);|CLC NA|||||||None|WARRANT OF ARREST/NOTICE TO APPEAR|09/11/2019 - 237a2Bi - DRUG CONVICTION|0.0|0.0|0.0|2019-09-12|2019.4|2019.0|False|True|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|WA|Grant County|47.3176385|-119.5536491
52c8e9446d54f5eb86bb4b20927756c1555af94a|ice|ICE 2020-05|2019.0|9.0|26.0|14.0|41.0|EPHRATA, WA|09/26/19|WNT/SEA|28.0|M|MEDIUM BROWN|MEXICO|99349.0|Unknown Date|CLC NA|||||||4—UNITED STATES|REINSTATEMENT OF DEPORT ORDER|09/26/2019 — 212a9Aii — ALIEN PREVIOUSLY REMOVED TWO OR MORE TIMES, NOT AS AN ARRIVING ALIEN, NOT AGGRAVATED|0.0|0.0|0.0|2019-09-26|2019.4|2019.0|False|True|False|False|False|False|True|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|WA|Grant County|47.3176385|-119.5536491
058ee1faea465cb198a4341e5853f24d93340df5|ice|ICE 2020-05|2019.0|7.0|30.0|20.0|35.0|POST FALLS, ID|07/31/19|SPK/SPW|43.0|M|MEDIUM|GUATEMALA|99016.0|03/02/2009 20:35, NAC, PWA (AFOOT)|O UNKNOWN||||GUATEMALA|||None|BAG AND BAGGAGE|07/30/2019 - 212a6Ai - ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs)|0.0|0.0|0.0|2019-07-30|2019.4|2019.0|False|True|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|ID|Kootenai County|47.7179578|-116.9515856
d91f8c668cd3c8cf4c3e89c530c0ab05065b2c57|ice|ICE 2020-05|2019.0|6.0|18.0|0.0|0.0|TACOMA, WA|06/18/19|SEA/SEA|25.0|M|MEDIUM|MEXICO|98404.0|Unknown Date, UNK, WI — Without Inspection|CLC NA|||||||2 —UNITED STATES|OTHER|06/17/2019 — 212a6Ai — ALIEN PRESENT WITHOUT ADMISSION OR PAROLE — (PWAs)|0.0|0.0|0.0|2019-06-18|2019.3|2019.0|False|True|False|False|False|False|False|False|True|True|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|WA|Pierce County|47.2528768|-122.4442906
196033a0b82ff4b136aa1c646bec1bf6d3a37f06|ice|ICE 2020-05||||||||WNT/SEA|26.0|M|MEDIUM BROWN|MEXICO|98848.0|||||||||None|DETAINER||0.0|0.0|0.0||||||False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False||||
f41596285ea6975e96e075b2e8939e2d6068fc60|ice|ICE 2020-05|2019.0|3.0|9.0|14.0|27.0|BLAINE, WA|03/09/19|BLS/BLW|38.0|M|MEDIUM|BANGLADESH|98421.0|03/09/2019 14 : 08, PHY, EWI AFOOT|PB UNKNOWN|#REDACTED# ; #REDACTED# EAST MUMBAI, MAHARASHTRA, 4UUUdd, INUIA|||BANGLADESH|||None|EXPEDITED REMOVAL|03/09/2019 - 212a7AiI - IMMIGRANT WITHOUT AN IMMIGRANT VISA|0.0|0.0|0.0|2019-03-09|2019.2|2019.0|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|WA|Whatcom County|48.993723|-122.7471191
2859d1969bfe70167719786a24e4ad5bfb891bad|ice|ICE 2020-05|2019.0|3.0|8.0|19.0|50.0|LYNDEN, WA|03/09/19|SMS/BLW|31.0|M|MEDIUM|INDIA|98421.0|03/08/2019 18:58, LYN, PWAC AFOOT|PB UNKNOWN|#REDACTED# NEW RANIP AHNEDABAD, GUJARAT, 382470, INDIA|||INDIA|||1 —INDIA|EXPEDITED REMOVAL|03/08/2019 - 212a7AiI - IMMIGRANT WITHOUT AN IMMIGRANT VISA|0.0|0.0|0.0|2019-03-08|2019.2|2019.0|False|False|False|False|True|False|False|False|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|WA|Whatcom County|48.9428018|-122.4529469
d98345b27842d6b226a34460f7e80b246f26f09e|ice|ICE 2020-05|2019.0|9.0|24.0|11.0|45.0|FEDERAL WAY, WA|09/24/19|SEA/SEA|43.0|M|MEDIUM|MEXICO|98421.0|Unknown Date, UNK, WI — Without Inspection|L NA|||||||3 —MEXICO|REINSTATEMENT OF DEPORT ORDER|09/24/2019 - 212a6Ai - ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs); 09/24/2019 - 212a9Ai - ALIEN PREVIOUSLY REMOVED ONCE, AS AN ARRIVING ALIEN (NOT AGGRAVATED|0.0|0.0|0.0|2019-09-24|2019.4|2019.0|False|True|False|False|False|False|False|True|True|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|WA|King County|47.3223221|-122.3126222
5c88e6ecc5b8aba86af7466a5948e9a0a093cc34|ice|ICE 2020-05|2019.0|7.0|10.0|10.0|15.0|LYNNWOOD, WA|07/10/19|SEA/SEA|41.0|M|MEDIUM|MONGOLIA|98036.0|01/11/2006 17:56, CHI, Fl — Student|L NA|||||||3 —UNITED STATES|BAG AND BAGGAGE|07/10/2019 - 237a1B - NONIMMIGRANT OVERSTAY|0.0|0.0|0.0|2019-07-10|2019.4|2019.0|False|True|False|False|False|False|False|False|True|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|True|False|False|WA|Snohomish County|47.8209301|-122.3151314
208a19721a7af0f59d4dc43eb4d901f7f956acd6|ice|ICE 2020-05|2019.0|4.0|1.0|0.0|0.0|CONNELL, WA|04/01/19|SEA/SEA|20.0|M|MEDIUM|MEXICO|98421.0|/1991, UNK, EWI /|CLC 520.3|||||||None|WARRANT OF ARREST/NOTICE TO APPEAR|03/29/2019 - 212a2B - MULTIPLE CONVICTIONS WITH AGGREGATE SENTENCE OF FIVE YEARS; 06/16/2009 - 212a6Ai - ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs)|0.0|0.0|0.0|2019-04-01|2019.3|2019.0|False|False|False|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|WA|Franklin County|46.6634733|-118.8611117
2d94a33bf5a18102ad13a1a777a3044fd72831eb|ice|ICE 2020-05|2019.0|7.0|24.0|0.0|0.0|SHELTON, WA|07/24/19|SEA/SEA|46.0|M|MEDIUM|VIETNAM|98005.0|03/16/1993,|CST 511.2.2|||||||None|WARRANT OF ARREST/NOTICE TO APPEAR|06/17/2010 - 237a2Aiii - Aggravated Felony: 101(a)(43)(F) Crime Of Violence|0.0|0.0|0.0|2019-07-24|2019.4|2019.0|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|WA|Mason County|47.2150945|-123.1007066
6d3f3e6be213be504c729c18d84edfcbae2a9965|ice|ICE 2020-05|2019.0|9.0|11.0|15.0|46.0|OREGON CITY, OR|09/12/19|POO/POO|37.0|M|MEDIUM|MEXICO|98421.0|12/02/2010, UNK, WI — Without Inspection|NCA NA|||||||2 —UNITED STATES|WARRANT OF ARREST/NOTICE TO APPEAR|09/12/2019 - 212a6Ai - ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs); 09/12/2019 - 212a2AiI - CONVICTION OR COMMISSION OF A CRIME INVOLVING MORAL TURPITUDE|0.0|0.0|0.0|2019-09-11|2019.4|2019.0|False|True|False|False|False|False|True|False|False|False|False|False|False|True|False|False|False|False|True|True|False|False|False|False|False|False|False|OR|Clackamas County|45.3364465|-122.6050422
